disease,symptom,description,weight,precautions
aids,patches_in_throat,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",6,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']"
aids,high_fever,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",7,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']"
aids,extra_marital_contacts,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",5,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']"
alcoholic hepatitis,vomiting,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",5,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,yellowish_skin,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",3,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,abdominal_pain,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",4,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,swelling_of_stomach,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",7,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,distention_of_abdomen,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",4,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,history_of_alcohol_consumption,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",5,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
alcoholic hepatitis,fluid_overload,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",6,"['stop alcohol consumption', 'consult doctor', 'medication', 'follow up']"
allergy,continuous_sneezing,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']"
allergy,shivering,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",5,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']"
allergy,chills,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']"
allergy,watering_from_eyes,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4,"['apply calamine', 'cover area with bandage', 'use ice to compress itching']"
arthritis,muscle_weakness,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",2,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']"
arthritis,stiff_neck,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",4,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']"
arthritis,swelling_joints,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",5,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']"
arthritis,movement_stiffness,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",5,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']"
arthritis,painful_walking,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",2,"['exercise', 'use hot and cold therapy', 'try acupuncture', 'massage']"
bronchial asthma,fatigue,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",4,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
bronchial asthma,cough,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",4,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
bronchial asthma,high_fever,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",7,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
bronchial asthma,breathlessness,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",4,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
bronchial asthma,family_history,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",5,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
bronchial asthma,mucoid_sputum,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",4,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']"
cervical spondylosis,back_pain,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",3,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']"
cervical spondylosis,weakness_in_limbs,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",7,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']"
cervical spondylosis,neck_pain,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",5,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']"
cervical spondylosis,dizziness,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",4,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']"
cervical spondylosis,loss_of_balance,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",4,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']"
chicken pox,itching,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",1,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,skin_rash,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",3,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,fatigue,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",4,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,lethargy,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",2,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,high_fever,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",7,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,headache,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",3,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,loss_of_appetite,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",4,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,mild_fever,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",5,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,swelled_lymph_nodes,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",6,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,malaise,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",6,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chicken pox,red_spots_over_body,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",3,"['use neem in bathing', 'consume neem leaves', 'take vaccine', 'avoid public places']"
chronic cholestasis,itching,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",1,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,vomiting,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,yellowish_skin,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",3,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,nausea,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",5,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,loss_of_appetite,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",4,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,abdominal_pain,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",4,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
chronic cholestasis,yellowing_of_eyes,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",4,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']"
common cold,continuous_sneezing,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",4,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,chills,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",3,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,fatigue,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",4,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,cough,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",4,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,high_fever,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",7,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,headache,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",3,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,swelled_lymph_nodes,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",6,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,malaise,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",6,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,phlegm,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",5,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,throat_irritation,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",4,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,redness_of_eyes,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",5,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,sinus_pressure,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",4,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,runny_nose,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",5,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,congestion,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",5,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,chest_pain,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",7,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,loss_of_smell,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",3,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
common cold,muscle_pain,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",2,"['drink vitamin c rich drinks', 'take vapour', 'avoid cold food', 'keep fever in check']"
dengue,skin_rash,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,chills,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,joint_pain,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,vomiting,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",5,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,fatigue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",4,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,high_fever,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",7,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,headache,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,nausea,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",5,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,loss_of_appetite,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",4,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,pain_behind_the_eyes,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",4,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,back_pain,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,malaise,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",6,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,muscle_pain,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",2,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
dengue,red_spots_over_body,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",3,"['drink papaya leaf juice', 'avoid fatty spicy food', 'keep mosquitos away', 'keep hydrated']"
diabetes,fatigue,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",4,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,weight_loss,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",3,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,restlessness,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",5,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,lethargy,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",2,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,irregular_sugar_level,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",5,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,blurred_and_distorted_vision,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",5,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,obesity,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",4,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,excessive_hunger,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",4,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,increased_appetite,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",5,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
diabetes,polyuria,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",4,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']"
